Organization Name,Organization Name URL,Headquarters Location,Description,Industries,CB Rank (Company),Exit Date,Exit Date Precision,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Last Equity Funding Type,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Founded Date,Founded Date Precision,Operating Status
Xiaozhu.com,https://www.crunchbase.com/organization/xiaozhu-com,"Beijing, Beijing, China",Xiaozhu.com is a platform for online communication and transactions for landlords and tenants.,"Internet, Real Estate, Rental","23,668",,,8,Late Stage Venture,2018-10-10,300000000,USD,300000000,Series F,300000000,USD,300000000,571599827,USD,571599827,Series F,571599827,USD,571599827,"Legend Capital, 5Y Capital, Morningside Group, GIC, Joy Capital",2012-01-01,year,Active
Zocdoc,https://www.crunchbase.com/organization/zocdoc,"New York, New York, United States",Zocdoc is a digital marketplace company that connects healthcare patients and doctors.,"Health Care, Medical, mHealth, Mobile Apps, Scheduling","23,686",,,10,Private Equity,2021-02-11,150000000,USD,150000000,Private Equity,150000000,USD,150000000,373940002,USD,373940002,Private Equity,375940002,USD,375940002,"Goldman Sachs, Khosla Ventures, Founders Fund, Jeff Bezos, Disruptive Ventures",2007-09-18,day,Active
Iterable,https://www.crunchbase.com/organization/iterable,"San Francisco, California, United States","SaaS, AI-Powered, Customer Communication Platform, Cross-Channel Marketing Platform","Artificial Intelligence (AI), Marketing, Mobile Apps, SaaS, Software","23,698",,,7,Late Stage Venture,2021-06-15,200000000,USD,200000000,Series E,200000000,USD,200000000,342200000,USD,342200000,Series E,342200000,USD,342200000,"Silver Lake, 500 Global, Adams Street Partners, TSVC, DTCP",2013-01-01,year,Active
Nxin,https://www.crunchbase.com/organization/nxin-com,"Beijing, Beijing, China",Nxin operates online agricultural platforms,Agriculture,"23,732",,,2,Early Stage Venture,2018-09-18,364000000,CNY,53044259,Series B,364000000,CNY,53044259,364000000,CNY,53044260,Series B,364000000,CNY,53044260,"Beijing Junenghesheng Industry Investment Fund, Beijing Shuju Xinrong Investment Management",2015-01-01,year,Active
Xforceplus,https://www.crunchbase.com/organization/xforceplus,"Shanghai, Shanghai, China",Xforceplus develops enterprise collaborative solutions for software as a service.,"Cloud Computing, Enterprise Software, Information Technology, SaaS, Software","23,740",,,6,Late Stage Venture,2021-06-01,100000000,USD,100000000,Series C,100000000,USD,100000000,200000000,USD,200000000,Series C,200000000,USD,200000000,"Dragoneer Investment Group, Hillhouse Investment, Temasek Holdings, IDG Capital, Yonghua Capital",2015-06-01,day,Active
Coalition,https://www.crunchbase.com/organization/coalition-535d,"San Francisco, California, United States",Coalition is a cyber insurance and security company that provides businesses to manage and mitigate cyber risks.,"Cyber Security, Information Technology, Insurance, InsurTech, Risk Management","23,767",,,7,Late Stage Venture,2022-07-08,250000000,USD,250000000,Series F,250000000,USD,250000000,755000000,USD,755000000,Series F,770000000,USD,770000000,"T. Rowe Price, General Atlantic, Hillhouse Investment, Index Ventures, Greyhound Capital",2017-01-01,year,Active
Public,https://www.crunchbase.com/organization/publicdotcom,"New York, New York, United States","Public.com is the fractional investing platform where members build modern portfolios of stocks & ETFs, crypto & NFTs, art & collectibles.","Cryptocurrency, FinTech, Stock Exchanges, Trading Platform","23,793",,,8,,2021-12-06,,,,Venture - Series Unknown,,,,308500000,USD,308500000,Venture - Series Unknown,308500000,USD,308500000,"Lakestar, Accel, Aglaé Ventures, Scott Belsky, Greycroft",2019-09-01,month,Active
Fanatics,https://www.crunchbase.com/organization/fanatics,"Jacksonville, Florida, United States",Fanatics is a sports merchandise retailer that manufactures fan gear and jerseys across retail channels.,"eSports, Manufacturing, Retail, Sporting Goods, Sports","23,834",2011-02-09,day,11,M&A,2022-12-06,700000000,USD,700000000,Private Equity,700000000,USD,700000000,4824999955,USD,4824999955,Private Equity,4899999955,USD,4899999955,"Fidelity, Alibaba Group, Silver Lake, Bank of America, Neuberger Berman",2002-01-01,year,Active
Changxin New Bridge,https://www.crunchbase.com/organization/changxin-new-bridge,"Changshan, Hunan, China",Changxin New Bridge is a Chinese company that produces DRAM memory chips.,"Manufacturing, Semiconductor","23,861",,,1,Private Equity,2023-10-31,14560000000,CNY,1990076951,Private Equity,14560000000,CNY,1990076951,14560000000,CNY,1990076951,Private Equity,14560000000,CNY,1990076951,China Integrated Circuit Industry Investment Fund (CICF),2021-01-01,month,Active
Instabase,https://www.crunchbase.com/organization/instabase,"San Francisco, California, United States",Instabase is a platform for businesses to build customizable apps for automating different parts of their business.,"Business Information Systems, Cloud Computing, Developer Platform, Software","23,904",,,5,Late Stage Venture,2023-06-06,45000000,USD,45000000,Series C,45000000,USD,45000000,176970000,USD,176970000,Series C,176970000,USD,176970000,"Andreessen Horowitz, New Enterprise Associates, Tribe Capital, K5 Global, Spark Capital",2015-01-01,year,Active
Contentsquare,https://www.crunchbase.com/organization/content-square,"Paris, Ile-de-France, France","The leader in digital experience analytics, Contentsquare's AI platform provides rich insight into customer behaviors, feelings and intent.","Analytics, Artificial Intelligence (AI), CRM, Data Visualization, Digital Marketing, SaaS","23,942",,,8,Late Stage Venture,2022-07-21,400000000,USD,400000000,Series F,400000000,USD,400000000,1212000000,USD,1212000000,Series F,1412000000,USD,1412000000,"Societe Generale, Bpifrance, BNP Paribas, Eurazeo, Goldman Sachs",2012-01-01,year,Active
Factorial,https://www.crunchbase.com/organization/factorial,"Barcelona, Catalonia, Spain",Factorial is a human resources company offering solutions that automate human resource processes.,"B2B, Human Resources, Productivity Tools, Software","23,961",,,6,,2024-04-11,74500000,EUR,79909471,Venture - Series Unknown,74500000,EUR,79909471,299948723,USD,299948723,Venture - Series Unknown,299948723,USD,299948723,"Creandum, General Catalyst, Itnig, K Fund, Tiger Global Management",2016-01-01,year,Active
Worldcoin,https://www.crunchbase.com/organization/worldcoin,"Berlin, Berlin, Germany",Worldcoin is a digital currency that will launch by giving a free share to every human on Earth.,"Blockchain, Cryptocurrency, Information Technology, Internet","23,985",,,3,Late Stage Venture,2023-05-25,115000000,USD,115000000,Series C,115000000,USD,115000000,240000000,USD,240000000,Series C,240000000,USD,240000000,"Hashed, Digital Currency Group, Multicoin Capital, Fifty Years, Andreessen Horowitz",2019-01-01,year,Active
Wealthfront,https://www.crunchbase.com/organization/wealthfront,"Palo Alto, California, United States",Wealthfront integrates investing and saving products to help young professionals build long-term wealth in any market condition.,"Finance, Financial Services, FinTech, Personal Finance, Wealth Management","23,989",,,7,Late Stage Venture,2022-09-02,69700000,USD,69700000,Convertible Note,75000000,USD,75000000,204500000,USD,204500000,Series E,274200000,USD,274200000,"UBS, Science, Social Capital, Dragoneer Investment Group, Benchmark",2011-12-01,day,Active
Bending Spoons,https://www.crunchbase.com/organization/bending-spoons,"Milan, Lombardia, Italy",Bending Spoons is a developer of digital technology products including video editing tools and an image editor.,"Information Technology, Mobile Apps, Software, Video Editing","24,006",,,6,,2024-02-15,144410000,EUR,155571475,Venture - Series Unknown,144410000,EUR,155571475,295449907,USD,295449907,Venture - Series Unknown,710836262,USD,710836262,"Cox Enterprises, Intesa Sanpaolo, Baillie Gifford, Banco BPM, H14",2013-06-01,month,Active
Hopper,https://www.crunchbase.com/organization/hopper,"Montréal, Quebec, Canada",Hopper is a travel app that uses predictive analytics to make travel recommendations.,"Apps, Big Data, Mobile Apps, Predictive Analytics, Travel","24,022",,,12,,2022-11-07,96000000,USD,96000000,Venture - Series Unknown,96000000,USD,96000000,694679549,USD,694679549,Venture - Series Unknown,729679549,USD,729679549,"Citi, BDC Venture Capital, Goldman Sachs, Brightspark Ventures, Inovia Capital",2007-01-01,year,Active
FalconX,https://www.crunchbase.com/organization/falconx,"San Mateo, California, United States","FalconX is a blockchain, cryptocurrency, and fintech company focused on cryptocurrency brokerage and digital asset trading platforms.","Cryptocurrency, Financial Exchanges, FinTech, Trading Platform","24,033",,,8,Late Stage Venture,2022-06-22,150000000,USD,150000000,Series D,150000000,USD,150000000,473999952,USD,473999952,Series D,476999952,USD,476999952,"Fidelity, Mirae Asset, B Capital, Lightspeed Venture Partners, CMT Digital Ventures",2018-05-01,month,Active
Turo,https://www.crunchbase.com/organization/turo,"San Francisco, California, United States",Turo is a peer-to-peer car-sharing marketplace where customers can book vehicles from a community of local hosts.,"Car Sharing, InsurTech, Marketplace, Peer to Peer, Transportation","24,083",,,14,,2023-08-29,,,,Secondary Market,35167273,USD,35167273,497517273,USD,497517273,Venture - Series Unknown,502567273,USD,502567273,"Mercedes-Benz Group AG, Intact Financial Corporation, Google Ventures, MassChallenge, Kleiner Perkins",2009-01-01,year,Active
Alation,https://www.crunchbase.com/organization/alation,"Redwood City, California, United States","Alation is a data intelligence platform for banks, retailers, and government agencies.","Analytics, Artificial Intelligence (AI), Business Intelligence, Data Governance, Data Integration, Data Management, Machine Learning","24,093",,,7,,2023-06-27,,,,Venture - Series Unknown,,,,314950000,USD,314950000,Venture - Series Unknown,314950000,USD,314950000,"Andreessen Horowitz, General Catalyst, DCVC, Bloomberg Beta, Costanoa Ventures",2012-12-12,day,Active
Highspot,https://www.crunchbase.com/organization/highspot-2,"Seattle, Washington, United States",Highspot is a sales enablement platform that helps companies worldwide improve the performance of their sales teams.,"Artificial Intelligence (AI), Enterprise Software, Sales Automation, Sales Enablement, Software","24,150",,,10,Late Stage Venture,2022-07-01,,,,Secondary Market,248000000,USD,248000000,642600000,USD,642600000,Series F,644850000,USD,644850000,"ICONIQ Capital, B Capital, ICONIQ Growth, Madrona, Sapphire Ventures",2012-01-01,year,Active
2TM,https://www.crunchbase.com/organization/2tm,"Brasil, Sao Paulo, Brazil","2TM creates an infrastructure for the financial market in blockchain, ensuring efficiency and security in funding and investment operations.","Asset Management, Bitcoin, Blockchain, Financial Services, FinTech","24,160",,,4,,2022-01-20,,,,Corporate Round,,,,250300000,USD,250300000,Corporate Round,250300000,USD,250300000,"MercadoLibre, Endeavor, TradersClub, G2D Investments, Tribe Capital",2013-01-01,year,Active
DataStax,https://www.crunchbase.com/organization/datastax,"Santa Clara, California, United States",DataStax is the real-time data company for Gen AI applications.,"Data Management, Generative AI, Information Technology, Open Source, Software","24,175",,,10,,2022-06-15,115000000,USD,115000000,Venture - Series Unknown,115000000,USD,115000000,342571788,USD,342571788,Venture - Series Unknown,342571788,USD,342571788,"Sequoia Capital, Bain Capital Ventures, Lightspeed Venture Partners, Kleiner Perkins, Crosslink Capital",2010-03-31,day,Active
CloudKitchens,https://www.crunchbase.com/organization/cloudkitchens,"Los Angeles, California, United States",CloudKitchens is a real estate company that provides smart kitchens for delivery-only restaurants.,"Delivery Service, Real Estate, Restaurants, Software","24,196",,,5,,2021-11-01,850000000,USD,850000000,Venture - Series Unknown,850000000,USD,850000000,1250000000,USD,1250000000,Venture - Series Unknown,1250000000,USD,1250000000,"Microsoft, Saudi Arabia's Public Investment Fund, Craft Ventures, King Street Capital Management, Barak Diskin",2016-01-01,year,Active
MicroPort Medbot,https://www.crunchbase.com/organization/microport-medbot,"Shanghai, Shanghai, China",MicroPort Medbot develops and provides intelligent surgical solutions and clinical needs.,"Health Care, Manufacturing, Medical, Medical Device, Robotics","24,204",,,1,Private Equity,2020-09-07,3500000000,CNY,512407583,Private Equity,3500000000,CNY,512407583,3500000000,CNY,512407584,Private Equity,3500000000,CNY,512407584,"Hillhouse Investment, CPE, E Fund Management Co.,LTD., Grand Flight Investment, Biolink Capital",2014-01-01,year,Active
Checkout.com,https://www.crunchbase.com/organization/checkout-com,"London, England, United Kingdom",Checkout.com is a global provider of payment solutions that help businesses and communities thrive in the digital economy.,"E-Commerce, FinTech, Payments, Transaction Processing","24,261",,,4,Late Stage Venture,2022-01-12,1000000000,USD,1000000000,Series D,1000000000,USD,1000000000,1830000000,USD,1830000000,Series D,1830000000,USD,1830000000,"Franklin Templeton, Dragoneer Investment Group, Insight Partners, Blossom Capital, Coatue",2012-01-01,year,Active
Strava,https://www.crunchbase.com/organization/strava,"San Francisco, California, United States","Strava is an online network where runners and cyclists can record their activities, compare performance, and compete with their community.","Fitness, Internet, Mobile, Social Network, Sports","24,266",,,8,Late Stage Venture,2020-11-17,110000000,USD,110000000,Series F,110000000,USD,110000000,151850000,USD,151850000,Series F,151850000,USD,151850000,"TCV, Sequoia Capital, Employee Stock Option Fund, Dragoneer Investment Group, Jackson Square Ventures",2009-01-01,year,Active
Gopuff,https://www.crunchbase.com/organization/gopuff,"Philadelphia, Pennsylvania, United States",Gopuff is a digital delivery service designed to deliver daily essentials within minutes.,"Delivery Service, E-Commerce, Food Delivery, Mobile Apps","24,273",,,11,,2022-05-18,,,,Venture - Series Unknown,,,,3449710000,USD,3449710000,Venture - Series Unknown,3449710000,USD,3449710000,"Fidelity, Adage Capital Management, Accel, Luxor Capital Group, Eldridge Industries",2013-11-01,month,Active
Trade Republic,https://www.crunchbase.com/organization/trade-republic,"Berlin, Berlin, Germany","Trade Republic helps Europeans for wealth creation through easy, secure, and free access to financial markets.","Cryptocurrency, Finance, Financial Services, FinTech, Trading Platform","24,286",,,5,Late Stage Venture,2022-06-03,250000000,EUR,268003683,Series C,250000000,EUR,268003683,1263503683,USD,1263503683,Series C,1263503683,USD,1263503683,"TCV, Sequoia Capital, Thrive Capital, Creandum, Founders Fund",2015-01-01,year,Active
Neuralink,https://www.crunchbase.com/organization/neuralink,"Fremont, California, United States",Neuralink develops a brain machine interface that provides solutions for those with paralysis.,"Biotechnology, Medical, Neuroscience, Robotics","24,291",,,8,Late Stage Venture,2023-12-01,,,,Secondary Market,323241676,USD,323241676,686241676,USD,686241676,Series D,686241676,USD,686241676,"UpHonest Capital, Raison, DFJ Growth, Roman Smolevskiy, Google Ventures",2016-01-01,year,Active
Udaan,https://www.crunchbase.com/organization/udaan,"Bangalore, Karnataka, India","Udaan is a B2B trade platform that brings manufacturers, traders, retailers, and wholesalers into a single platform.","B2B, E-Commerce, Internet, Retail","24,309",,,15,Late Stage Venture,2023-12-14,340000000,USD,340000000,Series E,340000000,USD,340000000,1519919113,USD,1519919113,Series E,1969913446,USD,1969913446,"Notable Capital, BlackSoil, Microsoft, Tencent, M&G Plc",2016-01-01,year,Active
Mahindra Electric Automobile,https://www.crunchbase.com/organization/mahindra-electric-automobile,"Mumbai, Maharashtra, India",Mahindra Electric Automobile operates as a four-wheeler (4W) passenger electric vehicle company.,"Automotive, Electric Vehicle","24,349",,,2,Private Equity,2023-08-03,12000000000,INR,144954592,Private Equity,12000000000,INR,144954592,31250000000,INR,387943109,Private Equity,31250000000,INR,387943109,"British International Investment, Temasek Holdings",1994-01-01,year,Active
Pave,https://www.crunchbase.com/organization/pave,"San Francisco, California, United States","Pave is a real-time compensation platform that helps organizations plan, communicate, and benchmark employees' compensation.","Employee Benefits, Information Technology, Real Time, SaaS, Software","24,399",,,4,Late Stage Venture,2022-06-28,100000000,USD,100000000,Series C,100000000,USD,100000000,162950000,USD,162950000,Series C,162950000,USD,162950000,"Andreessen Horowitz, Y Combinator, Bessemer Venture Partners, Contrary, Tribe Capital",2019-10-01,month,Active
SpotOn,https://www.crunchbase.com/organization/spoton,"San Francisco, California, United States",SpotOn provides mobile payment technology and a management system for restaurants and small businesses.,"Mobile Payments, Payments, Sales Automation, Software","24,400",,,8,Late Stage Venture,2022-05-18,300000000,USD,300000000,Series F,300000000,USD,300000000,918000000,USD,918000000,Series F,918000000,USD,918000000,"Andreessen Horowitz, Franklin Templeton, Mubadala, Wellington Management, Dragoneer Investment Group",2017-01-01,year,Active
V3 Group,https://www.crunchbase.com/organization/v3-group,"Singapore, Central Region, Singapore","V3 Group is a leading Asian luxury group that creates, develops, and owns brands in the lifestyle and wellness markets.",Lifestyle,"24,428",,,1,Private Equity,2018-12-04,366000000,SGD,268063919,Private Equity,366000000,SGD,268063919,366000000,SGD,268063919,Private Equity,366000000,SGD,268063919,Kohlberg Kravis Roberts,1980-11-01,month,Active
Lightmatter,https://www.crunchbase.com/organization/lightmatter-inc,"Boston, Massachusetts, United States","Lightmatter changes chip architecture, powering faster, energy-efficient computing with photonic processors for sustainable AI advancement.","Artificial Intelligence (AI), Hardware, Machine Learning, Semiconductor, Software","24,436",,,5,Late Stage Venture,2023-12-19,155000000,USD,155000000,Series C,155000000,USD,155000000,422000000,USD,422000000,Series C,422000000,USD,422000000,"Fidelity, Google Ventures, Viking Global Investors, Eastward Capital Partners, Hewlett Packard Enterprise",2017-09-08,day,Active
DeepL,https://www.crunchbase.com/organization/linguee,"Cologne, Nordrhein-Westfalen, Germany",DeepL is a deep-learning company that specializes in language translation.,"Artificial Intelligence (AI), Generative AI, Machine Learning, Software, Translation Service","24,454",,,4,,2023-01-11,100000000,USD,100000000,Venture - Series Unknown,100000000,USD,100000000,100000000,USD,100000000,Venture - Series Unknown,100000000,USD,100000000,"b2venture (formerly btov Partners), Bessemer Venture Partners, Benchmark, IVP, WiL (World Innovation Lab)",2017-01-01,year,Active
Forward,https://www.crunchbase.com/organization/goforward,"San Francisco, California, United States",Forward is a healthcare startup that provides a membership-based health care system.,"Artificial Intelligence (AI), Health Care, Health Diagnostics, Personal Health, Subscription Service","24,498",,,8,Late Stage Venture,2023-11-15,75000000,USD,75000000,Series E,75000000,USD,75000000,300000000,USD,300000000,Series E,325000000,USD,325000000,"Tencent, DCVC, Khosla Ventures, Founders Fund, Abu Dhabi Investment Authority",2016-01-01,year,Active
Uniphore,https://www.crunchbase.com/organization/uniphore,"Palo Alto, California, United States",Uniphore develops an artificial intelligence-powered conversational automation platform to offer speech analytics.,"Artificial Intelligence (AI), Customer Service, InsurTech, SaaS, Software","24,529",,,8,Late Stage Venture,2022-01-28,400000000,USD,400000000,Series E,400000000,USD,400000000,606750000,USD,606750000,Series E,620875000,USD,620875000,"IIFL Finance, Employee Stock Option Fund, Indian Angel Network, New Enterprise Associates, March Capital",2008-01-01,year,Active
JMGO,https://www.crunchbase.com/organization/jmgo,"Shenzhen, Guangdong, China",JMGO specializes in R&D and production of smart projectors and laser TV.,"Digital Entertainment, Electronics, Hardware, Manufacturing, Project Management","24,534",,,6,,2023-03-20,1664952,USD,1664952,Product Crowdfunding,1000000000,CNY,157423295,377396473,USD,377396473,Venture - Series Unknown,379061425,USD,379061425,"Alibaba Group, Oppo, 36Kr, Fortune Venture Capital, GF Xinde Investment Management",2011-01-01,year,Active
OpenSea,https://www.crunchbase.com/organization/opensea,"New York, New York, United States","OpenSea is an NFT marketplace that enables users to discover, collect, and sell blockchain-based digital assets.","Bitcoin, Blockchain, Cryptocurrency, Decentralized Finance (DeFi), Non-Fungible Token (NFT)","24,618",,,7,Late Stage Venture,2022-01-05,300000000,USD,300000000,Series C,300000000,USD,300000000,427220000,USD,427220000,Series C,427220000,USD,427220000,"Animoca Brands, Stacks, Andreessen Horowitz, Foundation Capital, Republic",2017-12-20,day,Active
Dapper Labs,https://www.crunchbase.com/organization/dapper-labs,"Vancouver, British Columbia, Canada",Dapper Labs is a consumer-focused flow blockchain product made for fun and games and supports digital collectibles.,"Blockchain, Collectibles, Decentralized Finance (DeFi), Non-Fungible Token (NFT), Software, Virtual Goods","24,668",,,7,,2022-11-21,5057850,USD,5057850,Venture - Series Unknown,5057850,USD,5057850,612507850,USD,612507850,Venture - Series Unknown,612507850,USD,612507850,"BlockTower Capital, Animoca Brands, Andreessen Horowitz, Warner Music Group, Digital Currency Group",2018-02-01,month,Active
Scivita Medical Technology,https://www.crunchbase.com/organization/scivita-medical-technology,"Suzhou, Jiangsu, China",Scivita Medical Technology is focusing on the image processing R&D and technology innovation of endoscope.,"Health Diagnostics, Manufacturing, Medical Device","24,718",,,2,Early Stage Venture,2021-08-05,400000000,CNY,61906088,Series B,400000000,CNY,61906088,800000000,CNY,123582135,Series B,800000000,CNY,123582135,"Medtronic, Lilly Asia Ventures, Matrix Partners China, Hudson Bay Capital Management, Chengwei Capital",2016-01-01,year,Active
FullStory,https://www.crunchbase.com/organization/fullstory,"Atlanta, Georgia, United States",FullStory develops a digital experience intelligence platform designed to capture customer experience data.,"Analytics, Business Intelligence, CRM, SaaS","24,759",,,7,,2022-08-10,25000000,USD,25000000,Venture - Series Unknown,25000000,USD,25000000,197197854,USD,197197854,Venture - Series Unknown,197197854,USD,197197854,"Google Ventures, Kleiner Perkins, Permira, Stripes, Dell Technologies Capital",2014-01-01,year,Active
Tekion,https://www.crunchbase.com/organization/tekion,"Pleasanton, California, United States",Tekion is a software development company that develops business applications on the cloud.,"Artificial Intelligence (AI), Automotive, Big Data, Machine Learning, Management Information Systems, Software","24,806",,,6,Late Stage Venture,2021-10-05,250000000,USD,250000000,Series D,250000000,USD,250000000,435100000,USD,435100000,Series D,435100000,USD,435100000,"Exor Ventures, AME Cloud Ventures, Hyundai Motor Company, Storm Ventures, Index Ventures",2016-01-01,year,Active
People.ai,https://www.crunchbase.com/organization/people-ai,"San Francisco, California, United States","People is an AI platform for enterprise sales, marketing, and customer success that uncovers revenue opportunities.","Artificial Intelligence (AI), Consumer Research, Enterprise Software, Intelligent Systems, Machine Learning","24,809",,,9,,2021-10-01,,,,Undisclosed,,,,200001000,USD,200001000,Undisclosed,200001000,USD,200001000,"Notable Capital, Gaingels, Andreessen Horowitz, Y Combinator, ICONIQ Growth",2016-02-03,day,Active
SAIC Mobility,https://www.crunchbase.com/organization/robotaxi,"Shanghai, Shanghai, China","SAIC Mobility offers one-stop"" service travel service.",Travel,"24,836",,,2,Early Stage Venture,2022-08-15,1000000000,CNY,147634162,Series B,1000000000,CNY,147634162,1300000000,CNY,193437788,Series B,1300000000,CNY,193437788,"Alibaba Group, Momenta, Contemporary Amperex Technology, SAIC Motor, Gaoxing Investment",2018-12-01,month,Active
Tipalti,https://www.crunchbase.com/organization/tipalti,"Foster City, California, United States",Tipalti is a global payables automation platform that provides a cloud solution to scale and automate global payables operations.,"Accounting, Financial Services, FinTech, Payments, Software","24,840",,,10,Late Stage Venture,2023-05-15,150000000,USD,150000000,Debt Financing,270000000,USD,270000000,549000000,USD,549000000,Series F,715000000,USD,715000000,"JP Morgan Chase, Hercules Capital, Marshall Wace, G Squared, Zeev Ventures",2010-01-01,year,Active
Yuanxin Satellite,https://www.crunchbase.com/organization/yuanxin-satellite,"Shanghai, Shanghai, China",Yuanxin Satellite is a provider of low-orbit broadband multimedia satellite network operation services.,"Information and Communications Technology (ICT), Information Technology, Satellite Communication, Telecommunications","24,923",,,1,Early Stage Venture,2024-02-01,6700000000,CNY,943529080,Series A,6700000000,CNY,943529080,6700000000,CNY,943529080,Series A,6700000000,CNY,943529080,"CAS Star, Guotai Junan Securities, China Development Bank, Guosheng Group, Hengxu Capital",2018-03-01,month,Active
Fenbeitong,https://www.crunchbase.com/organization/fenbeitong,"Beijing, Beijing, China",Fenbeitong (分贝通) is a corporate consumer management platform. ,"Financial Services, FinTech, Internet, Internet of Things, Software","25,055",,,6,Late Stage Venture,2022-02-17,140000000,USD,140000000,Series C,140000000,USD,140000000,291564942,USD,291564942,Series C,291564942,USD,291564942,"Tencent, Emergence, Eight Roads Ventures, Hillhouse Investment, Ribbit Capital",2015-01-01,year,Active
Komodo Health,https://www.crunchbase.com/organization/komodo-health,"San Francisco, California, United States",Komodo Health is a healthcare technology company that connects patients and doctors.,"Health Care, Information Technology, Predictive Analytics, Software","25,083",,,7,,2022-12-13,200000000,USD,200000000,Venture - Series Unknown,200000000,USD,200000000,514000000,USD,514000000,Venture - Series Unknown,514000000,USD,514000000,"Andreessen Horowitz, ICONIQ Growth, Dragoneer Investment Group, Oak HC/FT, Casdin Capital",2014-01-01,year,Active
Starburst,https://www.crunchbase.com/organization/starburst,"Boston, Massachusetts, United States",Starburst Data is an analytics platform for data.,"Analytics, Big Data, Database, Information Technology, Open Source, Software","25,105",,,4,Late Stage Venture,2022-02-09,250000000,USD,250000000,Series D,250000000,USD,250000000,414000000,USD,414000000,Series D,414000000,USD,414000000,"Andreessen Horowitz, B Capital, Coatue, Index Ventures, Salesforce Ventures",2017-10-08,day,Active
SJ Semi,https://www.crunchbase.com/organization/sj-semi,"Jiangyin, Jiangsu, China",SJ Semi is a MEOL (Middle-End of Line) foundry that implements front-end wafer manufacturing and quality systems for MEOL operations.,"Industrial, Manufacturing, Semiconductor","25,125",,,3,Late Stage Venture,2023-04-04,340000000,USD,340000000,Series C,340000000,USD,340000000,920000000,USD,920000000,Series C,920000000,USD,920000000,"CICC, Qualcomm, Semiconductor Manufacturing International, Walden International, Legend Capital",2014-08-01,month,Active
MessageBird,https://www.crunchbase.com/organization/messagebird,"Amsterdam, Noord-Holland, The Netherlands",MessageBird is a cloud communications platform that connects enterprises to their global customers.,"Cloud Computing, Enterprise Software, Messaging, Telecommunications","25,251",,,5,Late Stage Venture,2021-04-28,800000000,USD,800000000,Series C,800000000,USD,800000000,1100120000,USD,1100120000,Series C,1100120000,USD,1100120000,"Y Combinator, Eurazeo, BlackRock, Lightrock, Accel",2011-01-01,day,Active
ICON,https://www.crunchbase.com/organization/icon3d,"Austin, Texas, United States","ICON is a construction technology company that uses 3D robotics, software, and advanced materials.","3D Printing, Advanced Materials, Construction, Mechanical Design, Robotics, Software","25,346",,,6,Early Stage Venture,2022-02-18,184999873,USD,184999873,Series B,184999873,USD,184999873,451499870,USD,451499870,Series B,451499870,USD,451499870,"NASA, MicroVentures, Fifth Wall, Bond, Capital Factory",2017-01-01,year,Active
Chronosphere,https://www.crunchbase.com/organization/chronosphere,"New York, New York, United States",Chronosphere is the only cloud native observability platform that helps teams quickly resolve incidents while controlling costs.,"Analytics, Cloud Infrastructure, DevOps, Information Technology, Productivity Tools, SaaS","25,349",,,5,,2024-01-17,,,,Venture - Series Unknown,,,,342474000,USD,342474000,Venture - Series Unknown,342474000,USD,342474000,"Google Ventures, Founders Fund, Lux Capital, General Atlantic, Spark Capital",2019-01-01,year,Active
Hopin,https://www.crunchbase.com/organization/hopin-8ff6,"London, England, United Kingdom","Hopin is an event platform provider that connects communities through virtual, hybrid, and in-person events.","Events, Meeting Software, Video Conferencing","25,382",,,8,Late Stage Venture,2021-09-21,,,,Non-equity Assistance,450000000,USD,450000000,1021440519,USD,1021440519,Series D,1021440519,USD,1021440519,"Seedcamp, Andreessen Horowitz, Adams Street Partners, General Catalyst, DFJ Growth",2019-06-05,day,Active
ShareChat,https://www.crunchbase.com/organization/sharechat,"Bangalore, Karnataka, India",ShareChat is a social networking and regional content platform.,"Internet, Mobile Apps, Social Media, Social Network","25,388",,,16,Late Stage Venture,2024-03-27,48890000,USD,48890000,Debt Financing,300000000,USD,300000000,1536796987,USD,1536796987,Series H,1745474005,USD,1745474005,"Snap, Google, Tencent, Lightspeed Venture Partners, X (formerly Twitter)",2015-01-01,year,Active
Monte Carlo,https://www.crunchbase.com/organization/monte-carlo-3232,"San Francisco, California, United States",Monte Carlo is a digital data reliability platform designed to monitor and offer alerts for missing or inaccurate data.,"Analytics, Enterprise Software, Information Technology, SaaS","25,394",,,5,Late Stage Venture,2022-05-24,135000000,USD,135000000,Series D,135000000,USD,135000000,236000000,USD,236000000,Series D,236000000,USD,236000000,"Notable Capital, ICONIQ Growth, Accel, IVP, Redpoint",2019-01-01,year,Active
SingleStore,https://www.crunchbase.com/organization/memsql,"San Francisco, California, United States",SingleStore is a provider of a database for operational analytics and cloud-native applications.,"Analytics, Big Data, Cloud Data Services, Database, Enterprise Software, Software","25,395",,,11,Late Stage Venture,2022-10-03,30000000,USD,30000000,Series F,30000000,USD,30000000,414100000,USD,414100000,Series F,464100000,USD,464100000,"Hercules Capital, Y Combinator, Goldman Sachs, DCVC, Google Ventures",2011-01-01,year,Active
