Organization Name,Organization Name URL,Headquarters Location,Description,Industries,CB Rank (Company),Exit Date,Exit Date Precision,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Last Equity Funding Type,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Founded Date,Founded Date Precision,Operating Status
Chint Anneng Digital Energy,https://www.crunchbase.com/organization/chint-anneng-digital-energy,"Hangzhou, Zhejiang, China",Chint Anneng is a supplier of renewable energy equipment and solution services aimed at increasing the use of rooftop photovoltaic systems.,Solar,"41,804",,,2,Early Stage Venture,2022-12-01,574800000,USD,574800000,Series B,574800000,USD,574800000,729054335,USD,729054335,Series B,729054335,USD,729054335,"National Green Development Fund, China Southern Power Grid, Zhejiang Silk Road Fund, ICBC Investment, Hangzhoushi Shiye Touzi Jituan Youxian Gongsi",2015-01-01,year,Active
Visby Medical,https://www.crunchbase.com/organization/clickdiagnostics,"San Jose, California, United States",Visby Medical is a diagnostics company that develops PCR-based diagnostic tests for the detection of infectious diseases.,"Health Care, Health Diagnostics, Medical","41,857",,,10,Late Stage Venture,2024-02-08,1800000,USD,1800000,Grant,35000000,USD,35000000,327811564,USD,327811564,Series E,376911564,USD,376911564,"Cedars Sinai, Lightrock, Valo Ventures, J-Ventures, Artiman Ventures",2012-12-01,month,Active
Yidao Yongche,https://www.crunchbase.com/organization/yongche,"Beijing, Beijing, China",Yidao Yongche is a Chinese domestic e-commerce website platform that enables users to book professional car reservation services online.,"Automotive, E-Commerce","42,151",,,7,Private Equity,2018-04-15,,,,Private Equity,,,,790000000,USD,790000000,Private Equity,790000000,USD,790000000,"Trip.com, DCM Ventures, Qualcomm Ventures, LeEco, ZhenFund",2010-01-01,year,Active
Yubi,https://www.crunchbase.com/organization/credavenue,"Chennai, Tamil Nadu, India","Yubi is a fully integrated, unified digital platform that helps discover, trade, execute and fulfill debt solutions for investors.","Finance, Financial Services, FinTech, PaaS","42,153",,,3,Early Stage Venture,2023-07-14,,,,Secondary Market,137000000,USD,137000000,226743955,USD,226743955,Series B,226743955,USD,226743955,"B Capital, CRED, Stride Ventures, Lightrock, Dragoneer Investment Group",2017-01-01,day,Active
T3 Mobile Travel Services,https://www.crunchbase.com/organization/t3-mobile-travel-services,"Nanjing, Jiangsu, China",T3 Mobile Travel Services offers car-sharing services powered by renewable energy.,"Public Transportation, Renewable Energy, Ride Sharing","42,339",,,2,Early Stage Venture,2021-10-29,7700000000,CNY,1202054420,Series A,7700000000,CNY,1202054420,17460000000,CNY,2650329985,Series A,17460000000,CNY,2650329985,"Alibaba Group, Tencent, LY.com, CITIC Capital Holdings, Changan Automobile",2019-03-01,month,Active
Atmosphere,https://www.crunchbase.com/organization/atmosphere-tv,"Austin, Texas, United States","Atmosphere is a streaming TV platform for businesses, offering 21 original and partner TV channels.","Media and Entertainment, TV, Video Streaming","42,441",,,6,Late Stage Venture,2023-02-07,65000000,USD,65000000,Series D,65000000,USD,65000000,193742685,USD,193742685,Series D,213742685,USD,213742685,"Sageview Capital, S3 Ventures, Bridge Bank, Valor Equity Partners, Capstar Capital",2019-01-01,year,Active
Geek+,https://www.crunchbase.com/organization/geek,"Beijing, Beijing, China","Geek+ develops autonomous mobile robots for warehouse, factory, and supply chain management.","Industrial Automation, Logistics, Robotics, Supply Chain Management, Warehouse Automation, Warehousing","42,534",,,9,Late Stage Venture,2022-08-08,100000000,USD,100000000,Series E,100000000,USD,100000000,539441286,USD,539441286,Series E,539441286,USD,539441286,"Warburg Pincus, Vertex Ventures, Gaorong Capital, Intel Capital, GGV Capital",2015-01-01,year,Active
CoinTracker,https://www.crunchbase.com/organization/cointracker,"San Francisco, California, United States",CoinTracker is the gold standard in cryptocurrency portfolio tracking and tax compliance.,"Blockchain, Compliance, Cryptocurrency, Financial Services, FinTech, Software","42,637",,,3,Early Stage Venture,2022-01-27,100000000,USD,100000000,Series A,100000000,USD,100000000,101620000,USD,101620000,Series A,101620000,USD,101620000,"Intuit, Y Combinator, General Catalyst, Stacks, Accel",2017-08-22,day,Active
Turntide Technologies,https://www.crunchbase.com/organization/software-motor-company,"Sunnyvale, California, United States",Turntide Technologies develops an electric motor system designed to drive down energy consumption.,"CleanTech, Electrical Distribution, Energy, Energy Efficiency, GreenTech, Industrial, Industrial Automation, Machinery Manufacturing","42,651",,,10,,2022-06-15,80000000,USD,80000000,Venture - Series Unknown,80000000,USD,80000000,265557518,USD,265557518,Venture - Series Unknown,491529627,USD,491529627,"Breakthrough Energy Ventures, FootPrint Coalition, Fifth Wall, National Science Foundation, Climate Investment",2013-01-01,year,Active
Xinchao Media,https://www.crunchbase.com/organization/xinchao-media,"Beijing, Beijing, China",Xinchao Media targets household consumption by placing advertisements in elevators.,"Advertising, Advertising Platforms, Brand Marketing, Digital Marketing, Information Technology","42,681",,,4,,2019-08-09,1000000000,CNY,141592459,Corporate Round,1000000000,CNY,141592459,5160000000,CNY,767825356,Corporate Round,5160000000,CNY,767825356,"JD.com, Baidu, Red Star Macalline, Weixing Chen",2007-01-01,year,Active
Purplle,https://www.crunchbase.com/organization/purplle,"Mumbai, Maharashtra, India",Purplle is an online retailer that offers beauty and personal care products.,"Beauty, Cosmetics, E-Commerce, Retail, Shopping","42,689",,,17,Late Stage Venture,2023-10-04,,,,Secondary Market,,,,296317422,USD,296317422,Series E,296317422,USD,296317422,"Blume Ventures, Goldman Sachs, Verlinvest, Abu Dhabi Investment Authority, JSW Ventures",2012-01-01,year,Active
Creditas,https://www.crunchbase.com/organization/creditas,"São Paulo, Sao Paulo, Brazil",Creditas is a consumer loaning startup that operates a digital platform providing secured loans and low interest rates.,"Auto Insurance, Automotive, Banking, Consumer Lending, Financial Services","42,831",,,12,Late Stage Venture,2022-07-07,150000000,USD,150000000,Convertible Note,50000000,USD,50000000,873900000,USD,873900000,Series F,1053950000,USD,1053950000,"SoftBank, Fidelity, VEF, International Finance Corporation, Wellington Management",2012-04-16,day,Active
Juwan Technology,https://www.crunchbase.com/organization/juwan-technology,"Guangzhou, Guangdong, China",Juwan Technology Research Institute is the first in-house incubation technology innovation company of GAC Group.,Battery,"43,151",,,2,Early Stage Venture,2022-04-01,1000000000,CNY,157156103,Series A,1000000000,CNY,157156103,1060000000,CNY,165942806,Series A,1060000000,CNY,165942806,"Tencent, Guangzhou Automobile Group, Borun Capital, SFUND, Guangzhou Nan Yue Fund",2020-09-01,month,Active
Dt Dream,https://www.crunchbase.com/organization/dt-dream,"Hangzhou, Zhejiang, China",Dt Dream operates as a cloud computing and big data solutions provider.,"Big Data, Cloud Computing, Cloud Data Services, Software","43,153",,,3,Early Stage Venture,2019-09-26,600000000,CNY,84120797,Series B,600000000,CNY,84120797,266589326,USD,266589326,Series B,266589326,USD,266589326,"Alibaba Group, ZSVC, Everbright, Yinxinggu Capital, Zhejiang State Enterprise Reform and Development Fund",2015-03-01,month,Active
